name,active_from,active_to,career_length,birth_date,position,trad_position,ppg,trb,ast,fgp,per,ws,height_inches,weight,shooting_hand,hof,college,hs_name,hs_city,hs_state,url
Carl Thomas,1991,1998,7,1969-10-03,Shooting Guard,Guard,2.9,1.0,0.4,39.8,10.3,0.6,76.0,175.0,Right,0.0,Eastern Michigan University,Everett ,Lansing,Michigan,/players/t/thomaca01.html
Charles Thomas,1991,1992,1,1969-10-03,Shooting Guard,Guard,1.3,0.6,0.6,35.3,6.1,-0.1,75.0,175.0,Right,0.0,Eastern Michigan University,Everett ,Lansing,Michigan,/players/t/thomach01.html
Etan Thomas,2001,2011,10,1978-04-01,Power Forward,Forward,5.7,4.7,0.4,51.3,14.5,14.9,81.0,256.0,Right,0.0,Syracuse University,Booker T. Washington ,Tulsa,Oklahoma,/players/t/thomaet01.html
Irving Thomas,1990,1991,1,1966-01-02,Power Forward,Forward,1.8,1.2,0.4,34.0,7.3,-0.1,80.0,225.0,Right,0.0,"University of Kentucky, Florida State University",Miami Carol City ,Miami,Florida,/players/t/thomair01.html
Isaiah Thomas,2011,2019,8,1989-02-07,Point Guard,Guard,18.6,2.5,5.1,43.7,20.3,45.3,69.0,185.0,Left,0.0,University of Washington,South Kent School ,South Kent,Connecticut,/players/t/thomais02.html
Isiah Thomas,1981,1994,13,1961-04-30,Point Guard,Guard,19.2,3.6,9.3,45.2,18.1,80.7,73.0,180.0,Right,1.0,Indiana University,St. Joseph ,Westchester,Illinois,/players/t/thomais01.html
Jamel Thomas,1999,2001,2,1973-03-25,Small Forward,Forward,2.5,1.2,0.5,37.8,4.6,-0.3,78.0,215.0,Right,0.0,Providence College,Abraham Lincoln ,Brooklyn,New York,/players/t/thomaja01.html
James Thomas,2004,2006,2,1980-11-22,Power Forward,Forward,1.6,2.3,0.2,56.4,9.1,0.4,80.0,235.0,Right,0.0,University of Texas at Austin,Hargrave Military Academy ,Chatham,Virginia,/players/t/thomaja02.html
Jim Thomas,1983,1991,8,1960-10-19,Shooting Guard,Guard,8.4,2.6,2.3,47.1,12.5,4.9,75.0,190.0,Right,0.0,Indiana University,Nova ,Fort Lauderdale,Florida,/players/t/thomaji01.html
Joe Thomas,1970,1971,1,1948-03-09,Small Forward,Forward,1.4,1.1,0.4,26.7,4.3,-0.6,78.0,205.0,Right,0.0,Marquette University,Marist School ,Atlanta,Georgia,/players/t/thomajo01.html
John Thomas,1997,2006,9,1975-09-08,Center,Center,2.7,2.1,0.3,50.2,9.4,3.2,81.0,265.0,Right,0.0,University of Minnesota,Roosevelt ,Minneapolis,Minnesota,/players/t/thomajo02.html
Kenny Thomas,1999,2010,11,1977-07-25,Power Forward,Forward,9.3,6.9,1.5,46.5,13.9,31.2,79.0,261.0,Right,0.0,University of New Mexico,Albuquerque ,Albuquerque,New Mexico,/players/t/thomake01.html
